Bane;Fylke;Hull;Importert;URL
Arendal & Omegn GK;Agder;18+9;JA;
Bjaavann GK;Agder;18;JA;
Grimstad GK;Agder;9;JA;
Hovden GK;Agder;9;JA;
Kristiansand GK;Agder;9+6;JA;
Lindesnes GK;Agder;9;JA;
Mandal GK;Agder;9;JA;
Sirdal Fjellgolfklubb;Agder;9;JA;
Utsikten GK;Agder;18+9;JA;
Dalane GK;Rogaland;6;JA;
Egersund GK;Rogaland;9;JA;
Haugesund GK;Rogaland;9+6;JA;
Jæren GK;Rogaland;9;JA;
Karmøy GK;Rogaland;9;JA;
Nordvegen GK;Rogaland;18;JA;
Ogna GK;Rogaland;9;JA;
Preikestolen GK;Rogaland;9;JA;
Randaberg GK;Rogaland;9;JA;
Sandnes GK;Rogaland;18;JA;
Sauda GK;Rogaland;9;JA;
Sola GK (Forus);Rogaland;18+6;JA;
Sola GK (Solastranden);Rogaland;18;JA;
Stavanger GK;Rogaland;18;JA;
Bergen GK;Vestland;9+9;JA;https://www.bgk.no/
Bjørnefjorden GK;Vestland;9;JA;https://www.bjgk.no/
Fana GK;Vestland;18;JA;https://fanagolf.no/
Florø GK;Vestland;6;JA;https://www.florogolf.no/
Hardanger GK;Vestland;6;JA;https://hardangergolfklubb.no/
Herdla GK;Vestland;9;JA;https://herdlagolfklubb.no/
Haugaland GK;Vestland;18;JA;https://haugalandgolf.no/
Kvinnherad GK;Vestland;9;JA;https://golfen.no/
Meland GK;Vestland;18;JA;https://melandgolf.no/
Nordfjord GK;Vestland;9;JA;https://www.norgolf.com/
Selje GK;Vestland;9;JA;https://www.seljegolfklubb.no/
Sotra GK;Vestland;9;JA;https://sotragk.no/
Stord GK;Vestland;9;JA;https://www.stordgolf.com/
Sandane GK;Vestland;9;JA;https://www.sandanegolf.no/
Sunnfjord GK;Vestland;9;JA;https://sunnfjordgk.no/
Tysnes GK;Vestland;6;JA;https://www.tysnesgolf.no/
Voss GK;Vestland;9;JA;https://www.vossgolf.no/
Bamble GK;Telemark;9;JA;
Grenland & Omegn;Telemark;18;JA;
Gumøy GK;Telemark;9;JA;
Norsjø GK;Telemark;18+6;JA;
Kragerø GK;Telemark;18;JA;
Rjukan GK;Telemark;6;JA;
Vrådal GK;Telemark;9;JA;
Borre GK;Vestfold;18;JA;
Larvik GK;Vestfold;18+9;JA;
Hof GK;Vestfold;9;JA;
Husøy GK;Vestfold;9;JA;
Nøtterøy GK;Vestfold;18;JA;
Sande GK;Vestfold;9;JA;
Sandefjord GK;Vestfold;18;JA;
Solum GK;Vestfold;18;JA;
Tjøme GK;Vestfold;9+9;JA;
Tønsberg GK (Re);Vestfold;9;JA;
Veierland GK;Vestfold;6;JA;
Vestfold GK;Vestfold;18+9;JA;
Askim Golfpark;Østfold;9;JA;
Borregaard GK;Østfold;9;JA;
Ekholtbruket GK;Østfold;9;JA;
Gamle Fredrikstad GK;Østfold;18+9;JA;
Halden GK;Østfold;9;JA;
Huseby & Hankø GK;Østfold;9;JA;
Hvaler GK;Østfold;9;JA;
Moss & Rygge GK;Østfold;18;JA;
Mørk GK;Østfold;18+9;JA;
Rygge Flystasjon GK;Østfold;9;JA;
Skjeberg GK;Østfold;18;JA;
Onsøy GK;Østfold;18;JA;
Asker GK;Oslo og Akershus;18;JA;
Ballerud GK;Oslo og Akershus;9;JA;
Bærum GK;Oslo og Akershus;18;JA;
Drøbak GK;Oslo og Akershus;18;JA;
Fet GK (Leikvin);Oslo og Akershus;9;JA;
Gjerdrum GK;Oslo og Akershus;9;JA;
Gjersjøen GK;Oslo og Akershus;9;JA;
Grini GK;Oslo og Akershus;9;JA;
Hakadal GK;Oslo og Akershus;18;JA;
Haga GK;Oslo og Akershus;27;JA;
Hauger GK;Oslo og Akershus;18;JA;
Hvam GK;Oslo og Akershus;9;JA;
Kjekstad GK;Oslo og Akershus;18+9;JA;
Krokhol GK;Oslo og Akershus;9;JA;
Lillestrøm GK;Oslo og Akershus;9;JA;
Lommedalen GK;Oslo og Akershus;9;JA;
Losby GK;Oslo og Akershus;27;JA;
Miklagard GK;Oslo og Akershus;18;JA;
Nes GK;Oslo og Akershus;18;JA;
Nordhaug GK;Oslo og Akershus;9;JA;
Oppegård GK;Oslo og Akershus;18;JA;
Oustøen CC;Oslo og Akershus;18;JA;
Romerike GK;Oslo og Akershus;18;JA;
